"","Date","Location","Airplane.model","Fatalities"
"2167","Sep 19, 2003 at 1710 LT","Del Rio, Texas","Learjet 25",1
"2168","Sep 17, 2003 at 1828 LT","Luleå, Norrbotten","BAe Jetstream 31",0
"2169","Sep 17, 2003 at 1447 LT","Wick, Caithness","BAe Jetstream 31",0
"2170","Sep 16, 2003 at 1430 LT","Mexico, Mexico","Rockwell Aero Commander 690",1
"2171","Sep 14, 2003","Sudan, Sudan","Let 410UVP",0
"2172","Sep 13, 2003 at 1830 LT","Tecalitlán, Jalisco","Cessna 402",8
"2173","Sep 12, 2003 at 1930 LT","Colombia, Colombia","Piper PA-31-350 Navajo Chieftain",2
"2174","Sep 11, 2003 at 2205 LT","Funchal, Madeira","Beechcraft Super King Air 200",10
"2175","Sep 11, 2003 at 2130 LT","Ontario, Ontario","Cessna 208 Caravan",8
"2176","Sep 6, 2003","Las Lomitas, Sinaloa","Pilatus PC-6 (Porter & Turbo Porter)",0
"2177","Sep 4, 2003 at 1708 LT","Puerto Rico, Puerto Rico","Britten-Norman Islander",0
"2178","Aug 29, 2003 at 1427 LT","Penticton, British Columbia","De Havilland DHC-2 Beaver",3
"2179","Aug 28, 2003 at 1700 LT","Texas, Texas","Pilatus PC-6 (Porter & Turbo Porter)",0
"2180","Aug 26, 2003 at 1730 LT","Trollhättan, Västergötland","PZL-Mielec AN-2",0
"2181","Aug 26, 2003 at 1540 LT","Hyannis, Massachusetts","Beechcraft 1900D",2
"2182","Aug 24, 2003 at 0457 LT","Cap Haïtien, North","Let 410UVP",21
"2183","Aug 21, 2003 at 1648 LT","Florida, Florida","Piper PA-31-350 Navajo Chieftain",2
"2184","Aug 19, 2003","Old Fangak, Jonglei (<U+062C><U+0648><U+0646><U+0642><U+0644><U+064A>)","Cessna 208 Caravan",0
"2185","Aug 17, 2003 at 1256 LT","Barrow, Alaska","Cessna 406 Caravan",2
"2186","Aug 16, 2003","Esine, Lombardy","Canadair CL-415",0
"2187","Aug 16, 2003 at 1200 LT","Biloxi, Mississippi","Beechcraft T-1 Jayhawk",0
"2188","Aug 14, 2003 at 2222 LT","Cancun, Quintana Roo","Learjet 35",0
"2189","Aug 13, 2003","Rumbek, Lakes (<U+0627><U+0644><U+0628><U+062D><U+064A><U+0631><U+0627><U+062A>)","Let 410UVP",0
"2190","Aug 12, 2003","Seoul, Seoul (<U+C11C><U+C6B8>)","Beechcraft Super King Air 200",2
"2191","Aug 11, 2003 at 1537 LT","Jandakot, Western Australia","Cessna 404 Titan",2
"2192","Aug 8, 2003 at 0932 LT","Tocomita (Gurí), Bolívar","Cessna 208 Caravan",1
"2193","Aug 4, 2003 at 0639 LT","Groton, Connecticut","Learjet 35",2
"2194","Aug 2, 2003 at 1700 LT","Saskatchewan, Saskatchewan","De Havilland DHC-2 Beaver",1
"2195","Aug 2, 2003 at 1301 LT","Florida, Florida","Piper PA-31-350 Navajo Chieftain",0
"2196","Aug 2, 2003 at 1230 LT","Essen, North Rhine-Westphalia","Antonov AN-2",0
"2197","Aug 2, 2003 at 0800 LT","Ulu, Northwest Territories","Douglas C-54 Skymaster",0
"2198","Jul 23, 2003 at 0840 LT","Sorocaba, São Paulo","Cessna 551 Citation II",1
"2199","Jul 22, 2003 at 1015 LT","Washington, Washington","Cessna 525 CJ1",0
"2200","Jul 19, 2003 at 1800 LT","Kenya, Kenya","Swearingen SA226AC Metro II",14
"2201","Jul 16, 2003 at 1221 LT","Cranbrook, British Columbia","Lockheed L-188 Electra",2
"2202","Jul 13, 2003 at 2135 LT","Gustavus, Alaska","Cessna 401",4
"2203","Jul 13, 2003 at 1530 LT","Treasure Cay, Central Abaco","Cessna 402",2
"2204","Jul 13, 2003 at 1415 LT","San Cristobal, Táchira","Let 410UVP",4
"2205","Jul 11, 2003 at 0638 LT","Dhaka, Dhaka","Boeing 707",0
"2206","Jul 8, 2003 at 0417 LT","Port Sudan, Red Sea (<U+0627><U+0644><U+0628><U+062D><U+0631> <U+0627><U+0644><U+0623><U+062D><U+0645><U+0631>)","Boeing 737-200",116
"2207","Jul 3, 2003 at 1600 LT","Sitka, Alaska","Cessna 421 Golden Eagle",5
"2208","Jul 1, 2003 at 2330 LT","Belém, Pará","Mitsubishi MU-2 Marquise",4
"2209","Jun 30, 2003 at 1100 LT","Boufarik, Blida","Lockheed C-130 Hercules",15
"2210","Jun 26, 2003 at 1930 LT","Namibia, Namibia","Cessna 208 Caravan",4
"2211","Jun 26, 2003 at 1251 LT","Fort Myers, Florida","Cessna 414 Chancellor",2
"2212","Jun 25, 2003 at 1300 LT","Tehran, Tehran City District","Lockheed C-130 Hercules",7
"2213","Jun 24, 2003","Nyagan, Khantia-Mansia okrug","Tupolev TU-134",0
"2214","Jun 22, 2003 at 2351 LT","Brest, Finistère","Canadair RegionalJet CRJ-100",1
"2215","Jun 17, 2003 at 1330 LT","Bahamas, Bahamas","Cessna 402",0
"2216","Jun 16, 2003 at 1302 LT","Augusta, Georgia","Piper PA-31 Cheyenne",2
"2217","Jun 16, 2003 at 0630 LT","Adar Yeil, Upper Nile (<U+0623><U+0639><U+0627><U+0644><U+064A> <U+0627><U+0644><U+0646><U+064A><U+0644>)","Fokker 50",0
"2218","Jun 15, 2003","Moscow, Moscow oblast","Let 410UVP",0
"2219","Jun 14, 2003 at 1605 LT","Nueva Gerona, Isla de la Juventud","Antonov AN-24",0
"2220","Jun 11, 2003","Belo Horizonte, Minas Gerais","Embraer EMB-820 Navajo",4
"2221","Jun 6, 2003 at 1915 LT","Christchurch, Canterbury Regional Council","Piper PA-31-350 Navajo Chieftain",8
"2222","Jun 6, 2003 at 1705 LT","Anchorage, Alaska","De Havilland DHC-2 Beaver",0
"2223","Jun 5, 2003 at 1800 LT","Ontario, Ontario","De Havilland DHC-6 Twin Otter",0
"2224","Jun 1, 2003 at 1526 LT","Milan, Lombardy","Learjet 45",2
"2225","May 30, 2003 at 1430 LT","Sitka, Alaska","De Havilland DHC-2 Beaver",0
"2226","May 28, 2003 at 1720 LT","Grand Canyon, Arizona","Rockwell Aero Commander 500",0
"2227","May 27, 2003","Goma, Nord-Kivu","Antonov AN-12",0
"2228","May 26, 2003 at 1428 LT","New York, New York","Cessna 414 Chancellor",0
"2229","May 26, 2003 at 0445 LT","Trabzon, Black Sea Region (Karadeniz Bölgesi)","Yakovlev Yak-42",75
"2230","May 25, 2003 at 1754 LT","Woodruff, Wisconsin","Piper PA-31 Cheyenne",4
"2231","May 21, 2003 at 1125 LT","Iwakuni AFB, Chugoku","Learjet 36",4
"2232","May 18, 2003 at 2046 LT","Barbados, Barbados","Piper PA-31-350 Navajo Chieftain",2
"2233","May 18, 2003 at 0935 LT","Houston, Texas","Beechcraft Super King Air 350",0
"2234","May 16, 2003 at 1321 LT","Sangar, Republic of Yakutia (Sakha)","Antonov AN-3",0
"2235","May 16, 2003","Menongue, Cuando Cubango","Antonov AN-12",4
"2236","May 15, 2003 at 1710 LT","Ohio, Ohio","Cessna 208 Caravan",0
"2237","May 11, 2003","Asmara, Maekel","Antonov AN-12",0
"2238","May 4, 2003 at 1453 LT","Corona, California","Cessna 411",1
"2239","Apr 30, 2003","Ocaña, Norte de Santander","Basler BT-67",0
"2240","Apr 29, 2003 at 1930 LT","Kinshasa, Kinshasa City Province","Beechcraft 1900C",0
"2241","Apr 28, 2003","Dniepropetrovsk, Dnipropetrovsk Oblast","Yakovlev Yak-40",0
"2242","Apr 28, 2003 at 0730 LT","Mulia, Special Region of Papua","De Havilland DHC-6 Twin Otter",0
"2243","Apr 27, 2003","Democratic Republic of Congo, DRC","Vickers Viscount",0
"2244","Apr 26, 2003 at 1005 LT","San Antonio, Texas","Sino Swearingen SJ30-2",1
"2245","Apr 25, 2003 at 1200 LT","Beni, Nord-Kivu","Antonov AN-24",0
"2246","Apr 24, 2003 at 2012 LT","Mobile, Alabama","Socata TBM-700",1
"2247","Apr 23, 2003 at 1802 LT","Prince Albert, Saskatchewan","Beechcraft 99",0
"2248","Apr 15, 2003 at 2041 LT","Denver, Colorado","Swearingen SA226AC Metro II",0
"2249","Apr 14, 2003 at 1830 LT","Chetumal, Quintana Roo","Grumman G-64 Albatross",3
"2250","Apr 14, 2003 at 1140 LT","Mount Pleasant, South Carolina","Rockwell Aero Commander 500",0
"2251","Apr 11, 2003 at 2152 LT","Severnaya Zemlya, Krasnoyarsk Krai","Antonov AN-12",0
"2252","Apr 10, 2003 at 1700 LT","Canton, Georgia","Cessna 414 Chancellor",1
"2253","Apr 9, 2003","Urganch, Xorazm Province (Xorazm viloyati)","Yakovlev Yak-40",0
"2254","Apr 9, 2003 at 0850 LT","Oregon, Oregon","Cessna 207 Skywagon",2
"2255","Apr 8, 2003 at 1850 LT","Saint Louis, Missouri","Dassault Falcon 20",0
"2256","Apr 8, 2003 at 1349 LT","Toledo, Ohio","Dassault Falcon 20",3
"2257","Apr 7, 2003 at 1212 LT","Zurich, Zurich","Cessna 500 Citation",0
"2258","Apr 4, 2003 at 1830 LT","New Zealand, New Zealand","Fletcher FU-24",2
"2259","Apr 4, 2003 at 0935 LT","Massachusetts, Massachusetts","Beechcraft Super King Air 200",6
"2260","Mar 29, 2003 at 1229 LT","Humberside, Lincolnshire","Cessna 421 Golden Eagle",1
"2261","Mar 27, 2003 at 1230 LT","Mulia, Special Region of Papua","De Havilland DHC-6 Twin Otter",4
"2262","Mar 27, 2003 at 0113 LT","Georgia, Georgia","Rockwell Aero Commander 690",2
"2263","Mar 26, 2003","Oujda, Oriental","Boeing 737-400",0
"2264","Mar 25, 2003 at 1920 LT","Colombia, Colombia","Cessna 208 Caravan",3
"2265","Mar 25, 2003","Spain, Spain","Canadair CL-215",2
"2266","Mar 24, 2003 at 1052 LT","Tokyo, Kanto","Rockwell Gulfstream Commander 980",2
"2267","Mar 23, 2003","Santos, São Paulo","Mitsubishi MU-300 Diamond",0
"2268","Mar 22, 2003 at 2235 LT","Tainan, Tainan City (<U+81FA><U+5357><U+5E02>)","Airbus A321",0
"2269","Mar 19, 2003 at 1930 LT","Colorado, Colorado","Beechcraft King Air 90",0
"2270","Mar 15, 2003 at 1725 LT","Samedan, Graubünden","PZL-Mielec AN-2",0
"2271","Mar 15, 2003 at 1425 LT","Sun Valley, Idaho","Cessna 501 Citation I",3
"2272","Mar 15, 2003","Rumbek, Lakes (<U+0627><U+0644><U+0628><U+062D><U+064A><U+0631><U+0627><U+062A>)","Hawker-Siddeley Andover C.1",0
"2273","Mar 8, 2003 at 1027 LT","Kinston, North Carolina","Fokker F27 Friendship",0
"2274","Mar 6, 2003 at 2050 LT","Rome, Lazio","ATR42-300",0
"2275","Mar 6, 2003 at 1615 LT","Whitsunday Island, Queensland","De Havilland DHC-2 Beaver",0
"2276","Mar 6, 2003 at 1413 LT","Tamanrasset, Tamanghasset","Boeing 737-200",102
"2277","Mar 2, 2003 at 1504 LT","Kotzebue, Alaska","Cessna 208 Caravan",0
"2278","Mar 1, 2003 at 1445 LT","Leesburg, Virginia","Socata TBM-700",3
"2279","Mar 1, 2003 at 1425 LT","Tver, Tver oblast","Let 410UVP",11
"2280","Feb 28, 2003 at 1115 LT","Uyuni, Potosí","Cessna 411",1
"2281","Feb 27, 2003 at 1950 LT","Blenheim, Marlborough District Council","Fokker F27 Friendship",0
"2282","Feb 24, 2003","Karachi, Sindh (<U+0633><U+0646><U+068C> <U+0633><U+0646><U+062F><U+06BE>)","Cessna 402",8
"2283","Feb 20, 2003 at 1220 LT","Marathon, Florida","Cessna 402",0
"2284","Feb 20, 2003 at 0915 LT","Kohat, Khyber Pakhtunkhwa (<U+062E><U+06CC><U+0628><U+0631><U+067E><U+062E><U+062A><U+0648><U+0646><U+062E><U+0648><U+0627>)","Fokker F27 Friendship",17
"2285","Feb 19, 2003 at 1724 LT","Kerman, Kermanshah","Ilyushin II-76",275
"2286","Feb 19, 2003 at 1200 LT","Karachi, Sindh (<U+0633><U+0646><U+068C> <U+0633><U+0646><U+062F><U+06BE>)","Dornier DO228",0
"2287","Feb 16, 2003 at 2002 LT","Somerset, Kentucky","Cessna 421 Golden Eagle",3
"2288","Feb 16, 2003 at 1520 LT","Cincinnati, Ohio","Piper PA-31-350 Navajo Chieftain",0
"2289","Feb 14, 2003","Brasschaat AFB, Antwerp","Britten-Norman Islander",0
"2290","Feb 13, 2003 at 0843 LT","Florencia, Caquetá","Cessna 208 Caravan",2
"2291","Feb 10, 2003 at 1942 LT","Tallinn, Harjumaa","PZL-Mielec AN-28",2
"2292","Jan 31, 2003 at 1521 LT","Baucau, Timor Leste","Ilyushin II-76",6
"2293","Jan 26, 2003 at 1415 LT","Rio Branco, Acre","Boeing 737-200",0
"2294","Jan 24, 2003 at 1721 LT","Denver, Colorado","Piper PA-31 Cheyenne",2
"2295","Jan 24, 2003 at 1645 LT","Busia, Eastern","Grumman G-159 Gulfstream GI",3
"2296","Jan 24, 2003 at 1015 LT","San Angelo, Texas","Cessna 208 Caravan",0
"2297","Jan 23, 2003 at 2030 LT","Sacramento, California","Cessna 402",0
"2298","Jan 20, 2003 at 0945 LT","Put in Bay, Ohio","Cessna 207 Skywagon",0
"2299","Jan 19, 2003 at 0715 LT","New York, New York","Airbus A319",0
"2300","Jan 18, 2003","Columbus, Ohio","Embraer ERJ-135",0
"2301","Jan 17, 2003 at 1201 LT","Mellila, Melilla","Fokker 50",0
"2302","Jan 17, 2003","Ndjolé, Moyen-Ogooué (Lambaréné)","Antonov AN-26",7
"2303","Jan 17, 2003 at 0940 LT","Quito, Pichincha","Fokker F28 Fellowship",0
"2304","Jan 17, 2003 at 0900 LT","Yacuiba, Tarija","BAe Jetstream 31",0
"2305","Jan 14, 2003 at 1300 LT","Pattaya, Chonburi (<U+0E0A><U+0E25><U+0E1A><U+0E38><U+0E23><U+0E35>)","Britten-Norman Islander",0
"2306","Jan 9, 2003 at 0845 LT","Chachapoyas, Amazonas","Fokker F28 Fellowship",46
"2307","Jan 8, 2003 at 2019 LT","Diyarbakir, Southeastern Anatolia Region (Güneydogu Anadolu Bölgesi)","Avro RJ100",75
"2308","Jan 8, 2003 at 1824 LT","Santo Domingo, Distrito Nacional","Raytheon 390 Premier I",0
"2309","Jan 8, 2003 at 0849 LT","Charlotte, North Carolina","Beechcraft 1900D",21
"2310","Dec 31, 2002","Hastings, Western Area","Embraer EMB-110 Bandeirante",0
"2311","Dec 29, 2002 at 1606 LT","Panama, Panama","Britten-Norman Islander",1
"2312","Dec 28, 2002 at 1230 LT","Alaska, Alaska","De Havilland DHC-3 Otter",0
"2313","Dec 27, 2002 at 1215 LT","Mutsamudu, Comoros Islands","Let 410UVP",1
"2314","Dec 27, 2002","Ust-Kuyga, Republic of Yakutia (Sakha)","Antonov AN-26",0
"2315","Dec 26, 2002 at 1120 LT","Curitiba, Paraná","Embraer EMB-110 Bandeirante",3
"2316","Dec 25, 2002 at 1006 LT","Akron, Colorado","Cessna 421 Golden Eagle",2
"2317","Dec 25, 2002 at 0100 LT","Manteo, North Carolina","Cessna 208 Caravan",1
"2318","Dec 24, 2002 at 0745 LT","Aberdeen, Aberdeenshire","Swearingen SA227AC Metro III",0
"2319","Dec 23, 2002 at 1929 LT","Isfahan, Isfahan","Antonov AN-140",44
"2320","Dec 21, 2002 at 0152 LT","Makung, Penghu County (<U+6F8E><U+6E56><U+7E23>)","ATR72-200",2
"2321","Dec 17, 2002 at 2251 LT","Rockford, Illinois","Cessna 208 Caravan",1
"2322","Dec 17, 2002 at 2041 LT","Feilding, Manawatu-Whanganui (Horizons Regional Council)","Piper PA-31-350 Navajo Chieftain",3
"2323","Dec 17, 2002 at 1353 LT","Hahn, Rhineland-Palatinate","Cessna 414 Chancellor",2
"2324","Dec 17, 2002 at 1200 LT","Zamboanga City, Zamboanga Sibugay","GAF Nomad N22",0
"2325","Dec 16, 2002 at 1907 LT","Seattle, Washington","BAe 125",0
"2326","Dec 13, 2002 at 1743 LT","Singapore, Singapore","Douglas DC-8",0
"2327","Dec 13, 2002","Papua New Guinea, PNG","Britten-Norman Islander",8
"2328","Dec 9, 2002 at 1140 LT","Eagleton, Arkansas","Beechcraft 1900C",3
"2329","Dec 7, 2002","Xi'an, Shaanxi","De Havilland Dash-8-400",0
"2330","Dec 6, 2002 at 1200 LT","Havana, La Habana","Embraer EMB-110 Bandeirante",0
"2331","Dec 4, 2002 at 0616 LT","Denton, Texas","Cessna 402",1
"2332","Dec 3, 2002 at 2035 LT","Albuquerque, New Mexico","Cessna 421 Golden Eagle",1
"2333","Dec 3, 2002 at 0612 LT","Astoria, Oregon","Learjet 36",0
"2334","Nov 28, 2002 at 1415 LT","Kenya, Kenya","Let 410UVP",1
"2335","Nov 12, 2002 at 2052 LT","Sandspit, British Columbia","Cessna 550 Citation II",0
"2336","Nov 11, 2002 at 0607 LT","Manila, Metro Manila","Fokker F27 Friendship",19
"2337","Nov 9, 2002 at 1900 LT","Antalya, Mediterranean Region (Akdeniz Bölgesi)","Antonov AN-26",0
"2338","Nov 8, 2002 at 1457 LT","Taos, New Mexico","IAI 1124 Westwind",2
"2339","Nov 8, 2002 at 1020 LT","Arizona, Arizona","Cessna 208 Caravan",4
"2340","Nov 7, 2002 at 1404 LT","Australia, Australia","Cessna 207 Skywagon",0
"2341","Nov 7, 2002 at 1130 LT","Kome, Logone Oriental","Antonov AN-12",0
"2342","Nov 7, 2002 at 1027 LT","Tarakan, West Kalimantan","Britten-Norman Islander",7
"2343","Nov 6, 2002 at 1006 LT","Luxembourg, Luxembourg","Fokker 50",20
"2344","Nov 3, 2002 at 2330 LT","Dominican Republic, Dominican Republic","Piper PA-31-350 Navajo Chieftain",1
"2345","Nov 2, 2002 at 1702 LT","Sligo, Connacht","Fokker F27 Friendship",0
"2346","Nov 1, 2002 at 1130 LT","Monroe, Louisiana","Rockwell Aero Commander 500",3
"2347","Oct 31, 2002 at 2215 LT","Monterrey, Nuevo León","Douglas DC-9",0
"2348","Oct 31, 2002 at 0733 LT","Hobbs, New Mexico","Piper PA-31 Cheyenne",1
"2349","Oct 28, 2002 at 2000 LT","Marshall, Alaska","Cessna 207 Skywagon",0
"2350","Oct 25, 2002 at 1022 LT","Eveleth, Minnesota","Beechcraft King Air 100",8
"2351","Oct 23, 2002 at 1945 LT","Mobile, Alabama","Cessna 208 Caravan",1
"2352","Oct 23, 2002 at 0457 LT","Bishkek, Bishkek City","Ilyushin II-62",0
"2353","Oct 15, 2002 at 1224 LT","Memphis, Tennessee","Avro RJ85",0
"2354","Oct 7, 2002 at 1017 LT","Dexter, Maine","Cessna 525 CJ1",0
"2355","Oct 7, 2002 at 0910 LT","Santa Cruz do Sul, Rio Grande do Sul","Learjet 60",1
"2356","Oct 1, 2002 at 0945 LT","Dabolim, Goa","Ilyushin II-18",5
"2357","Oct 1, 2002 at 0945 LT","Dabolim, Goa","Ilyushin II-18",11
"2358","Sep 30, 2002","Russia, Russia","PZL-Mielec AN-2",0
"2359","Sep 29, 2002 at 0913 LT","Hawthorne, California","Swearingen SA227AC Metro III",0
"2360","Sep 28, 2002 at 1135 LT","Quebec, Quebec","De Havilland DHC-3 Otter",3
"2361","Sep 15, 2002","Negage, Uíge","Ilyushin II-18",0
"2362","Sep 14, 2002 at 1600 LT","Krasnoyarsk, Krasnoyarsk Krai","Antonov AN-2",13
"2363","Sep 14, 2002 at 1555 LT","Missouri, Missouri","Pilatus PC-12",2
"2364","Sep 14, 2002 at 0540 LT","Brazil, Brazil","ATR42-300",2
"2365","Sep 5, 2002 at 1820 LT","Manila, Metro Manila","De Havilland Dash-7",0
"2366","Sep 3, 2002","Indonesia, Indonesia","De Havilland DHC-6 Twin Otter",0
"2367","Sep 2, 2002 at 1050 LT","Xichang, Sichuan","Cessna 650 Citation VI",3
"2368","Aug 30, 2002 at 1752 LT","Rio Branco, Acre","Embraer EMB-120 Brasília",23
"2369","Aug 30, 2002 at 1307 LT","Lexington, Kentucky","Learjet 25",1
"2370","Aug 30, 2002 at 1205 LT","São Paulo, São Paulo","Fokker 100",0
"2371","Aug 30, 2002 at 1045 LT","Brazil, Brazil","Fokker 100",0
"2372","Aug 29, 2002 at 1856 LT","Ayan, Khabarovsk Krai","PZL-Mielec AN-28",16
"2373","Aug 28, 2002 at 1843 LT","Phoenix, Arizona","Airbus A320",0
"2374","Aug 28, 2002 at 1650 LT","Diavik, Northwest Territories","Douglas DC-4",0
"2375","Aug 28, 2002 at 1600 LT","Alaska, Alaska","De Havilland DHC-2 Beaver",1
"2376","Aug 26, 2002","Chita, Zabaykalsky Krai","PZL-Mielec AN-2",0
"2377","Aug 24, 2002 at 1308 LT","Armstrong, Ontario","De Havilland DHC-2 Beaver",1
"2378","Aug 22, 2002 at 1005 LT","Pokhara, Gandaki","De Havilland DHC-6 Twin Otter",18
"2379","Aug 16, 2002 at 1135 LT","Charleston, West Virginia","Piper PA-31-350 Navajo Chieftain",1
"2380","Aug 15, 2002 at 1550 LT","Forte dei Marmi, Tuscany","Pilatus PC-6 (Porter & Turbo Porter)",1
"2381","Aug 15, 2002 at 1235 LT","Colombo, Western Province (<U+0BAE><U+0BC7><U+0BB2><U+0BCD> <U+0BAE><U+0BBE><U+0B95><U+0BBE><U+0BA3><U+0BAE><U+0BCD>)","Harbin Yunsunji Y-8",5
"2382","Aug 13, 2002","Tyumen, Tyumen oblast","Antonov AN-2",0
"2383","Aug 13, 2002","Manaus, Amazonas","Embraer EMB-120 Brasília",0
"2384","Aug 13, 2002 at 1120 LT","California, California","Cessna 550 Citation II",0
"2385","Aug 13, 2002 at 0815 LT","Muyowosi-Murungi, Kigoma Region","Cessna 406 Caravan",0
"2386","Aug 11, 2002 at 0123 LT","Bishop, California","Rockwell Aero Commander 690",4
"2387","Aug 8, 2002 at 1920 LT","Krasnodar, Krasnodar Krai","PZL-Mielec AN-2",2
"2388","Aug 8, 2002","Kinshasa, Kinshasa City Province","Lockheed L-1011 TriStar",0
"2389","Aug 7, 2002 at 1200 LT","Puerto Rico, Puerto Rico","Lockheed C-130 Hercules",10
"2390","Aug 2, 2002","Congo, Congo","Cessna 208 Caravan",0
"2391","Jul 28, 2002 at 1525 LT","Moscow, Moscow oblast","Ilyushin II-86",14
"2392","Jul 26, 2002","Kinshasa, Kinshasa City Province","Antonov AN-26",0
"2393","Jul 26, 2002 at 0537 LT","Tallahassee, Florida","Boeing 727-200",0
"2394","Jul 25, 2002","Kenya, Kenya","De Havilland DHC-5 Buffalo",0
"2395","Jul 24, 2002 at 1450 LT","New Zealand, New Zealand","Fletcher FU-24",1
"2396","Jul 21, 2002 at 1026 LT","Bloomington, Illinois","Beechcraft King Air 90",2
"2397","Jul 18, 2002 at 1840 LT","Colorado, Colorado","Consolidated PB4Y-2 Privateer",2
"2398","Jul 17, 2002 at 1422 LT","Surkhet, Bheri","De Havilland DHC-6 Twin Otter",4
"2399","Jul 16, 2002","Long Bawan, North Kalimantan","Britten-Norman Islander",9
"2400","Jul 13, 2002","Yakutsk, Republic of Yakutia (Sakha)","Antonov AN-24",0
"2401","Jul 12, 2002 at 1145 LT","Port Alsworth, Alaska","De Havilland DHC-2 Beaver",4
"2402","Jul 10, 2002 at 2042 LT","Werneuchen, Brandenburg","Saab 2000",0
"2403","Jul 4, 2002 at 1115 LT","Bangui, Ombella-M'Poko","Boeing 707",28
"2404","Jul 1, 2002 at 2335 LT","Konstanz, Baden-Württemberg","Tupolev TU-154",69
"2405","Jul 1, 2002 at 2335 LT","Konstanz, Baden-Württemberg","Boeing 757",2
"2406","Jul 1, 2002 at 1315 LT","New Mexico, New Mexico","Beechcraft H18",1
"2407","Jun 27, 2002","Lipetsk, Lipetsk oblast","PZL-Mielec AN-2",2
"2408","Jun 26, 2002 at 1254 LT","Shimojishima, Okinawa","Boeing 767-200",0
"2409","Jun 26, 2002 at 0800 LT","Venetie, Florida","Beechcraft 18",0
"2410","Jun 17, 2002 at 1445 LT","California, California","Lockheed C-130 Hercules",3
"2411","Jun 14, 2002 at 1945 LT","Anholt, Midtjylland","Britten-Norman Islander",0
"2412","Jun 14, 2002 at 1815 LT","Neiva, Huila","Douglas DC-9",0
"2413","Jun 12, 2002","Afghanistan, Afghanistan","Lockheed C-130 Hercules",3
"2414","Jun 12, 2002 at 1113 LT","Westerland, Schleswig-Holstein","Cessna 421 Golden Eagle",0
"2415","Jun 11, 2002 at 1830 LT","Khartoum, Khartoum (<U+0627><U+0644><U+062E><U+0631><U+0637><U+0648><U+0645>)","Fokker F27 Friendship",0
"2416","Jun 11, 2002 at 0920 LT","Winnipeg, Manitoba","Piper PA-31-350 Navajo Chieftain",1
"2417","Jun 9, 2002 at 1545 LT","Namur, Namur","Pilatus PC-6 (Porter & Turbo Porter)",1
"2418","Jun 9, 2002","Jaipur, Rajasthan","Dornier DO228",0
"2419","Jun 4, 2002","Russia, Russia","PZL-Mielec AN-2",0
"2420","Jun 1, 2002","Breitscheid, Hesse","Pilatus PC-6 (Porter & Turbo Porter)",0
"2421","Jun 1, 2002 at 0715 LT","George, Western Cape","Avro 748",3
"2422","May 31, 2002 at 1315 LT","Roseau, Dominica","Rockwell Aero Commander 500",2
"2423","May 25, 2002 at 1528 LT","Taiwan, Taiwan","Boeing 747-200",225
"2424","May 25, 2002 at 0700 LT","Nabire, Special Region of Papua","De Havilland DHC-6 Twin Otter",6
"2425","May 21, 2002 at 1942 LT","Calabar, Cross River","Let 410UVP",5
"2426","May 21, 2002 at 1100 LT","Laredo, Texas","Douglas DC-3",0
"2427","May 20, 2002 at 0801 LT","Oklahoma City, Oklahoma","Cessna 551 Citation II",0
"2428","May 15, 2002","Goroka, Eastern Highlands","Fletcher FU-24",1
"2429","May 13, 2002 at 1538 LT","Moulins, Allier","Socata TBM-700",0
"2430","May 8, 2002 at 1630 LT","Gulf of Mexico, World","Rockwell Sabreliner 40R",3
"2431","May 8, 2002 at 1630 LT","Gulf of Mexico, World","Rockwell Sabreliner 40R",4
"2432","May 7, 2002 at 2132 LT","Dalian, Liaoning","McDonnell Douglas MD-82",112
"2433","May 7, 2002 at 1517 LT","Tunis, Tunis Governorate (<U+0648><U+0644><U+0627><U+064A><U+0629> <U+062A><U+0648><U+0646><U+0633><U+200E>)","Boeing 737-500",14
